#{"t_start": 1729962371.660071, "env_id": "None"}
r,l,t
-0.5,1,80.975374
-0.5,1,81.07708
-0.5,1,81.177995
-0.5,1,81.288608
-0.5,1,81.399875
-0.5,1,81.507384
-0.5,1,81.614313
-0.5,1,81.719793
-0.5,1,81.828019
-0.5,1,81.934207
-0.5,1,82.037555
-0.5,1,82.148185
-0.5,1,82.255176
-0.5,1,82.361397
-0.5,1,82.4671
-0.5,1,82.573881
-0.5,1,82.678674
-0.5,1,82.786126
-0.5,1,82.891586
-0.5,1,82.993765
-0.5,1,83.094854
-0.5,1,83.203004
-0.5,1,83.307476
-0.5,1,83.420062
-0.5,1,83.522018
-0.5,1,83.624515
-0.5,1,83.72185
-0.5,1,83.825341
-0.5,1,83.930061
-0.5,1,84.033849
-0.5,1,84.143482
-0.5,1,84.252983
-0.5,1,84.359165
-0.5,1,84.465577
-0.5,1,84.573989
-0.5,1,84.684952
-0.5,1,84.790439
-0.5,1,84.90023
-0.5,1,85.002103
-0.5,1,85.104915
-0.5,1,85.215224
-0.5,1,85.322735
-0.5,1,85.431851
-0.5,1,85.535157
-0.5,1,85.639994
-0.5,1,85.747089
-0.5,1,85.85237
-0.5,1,85.953843
-0.5,1,86.063093
-0.5,1,86.170392
-0.5,1,86.275419
-0.5,1,86.383902
-0.5,1,86.491477
-0.5,1,86.599756
-0.5,1,86.705421
-0.5,1,86.815629
-0.5,1,86.919325
-0.5,1,87.026093
-0.5,1,87.13102
-0.5,1,87.23788
-0.5,1,87.334471
-0.5,1,87.434609
-0.5,1,87.527358
-0.5,1,87.625413
-0.5,1,87.723627
-0.5,1,87.823985
-0.5,1,87.924486
-0.5,1,88.022975
-0.5,1,88.117923
-0.5,1,88.216374
-0.5,1,88.320144
-0.5,1,88.422753
-0.5,1,88.524465
-0.5,1,88.623935
-0.5,1,88.722664
-0.5,1,88.824447
-0.5,1,88.919693
-0.5,1,89.017405
-0.5,1,89.113366
-0.5,1,89.211495
-0.5,1,89.308606
-0.5,1,89.410414
-0.5,1,89.507046
-0.5,1,89.607114
-0.5,1,89.701878
-0.5,1,89.798073
-0.5,1,89.898878
-0.5,1,89.996376
-0.5,1,90.088369
-0.5,1,90.180965
-0.5,1,90.271377
-0.5,1,90.377999
-0.5,1,90.486155
-0.5,1,90.58692
-0.5,1,90.701135
-0.5,1,90.799127
-0.5,1,90.901312
-0.5,1,91.003015
-0.5,1,91.10617
-0.5,1,91.20902
-0.5,1,91.313518
-0.5,1,91.412718
-0.5,1,91.529104
-0.5,1,91.628679
-0.5,1,91.728603
-0.5,1,91.829274
-0.5,1,91.928092
-0.5,1,92.026208
-0.5,1,92.125098
-0.5,1,92.230789
-0.5,1,92.332733
-0.5,1,92.430369
-0.5,1,92.529039
-0.5,1,92.63698
-0.5,1,92.735211
-0.5,1,92.836319
-0.5,1,92.94451
-0.5,1,93.043401
-0.5,1,93.149374
-0.5,1,93.255455
-0.5,1,93.358392
-0.5,1,93.458458
-0.5,1,93.560504
-0.5,1,93.668209
